run_accession	sample_alias
ERR6293561	KP_NORM_BLD_114303
ERR6293562	KP_NORM_BLD_114306
ERR6293563	KP_NORM_BLD_114309
ERR6293564	KP_NORM_BLD_114312
ERR6293565	KP_NORM_BLD_114315
ERR6293566	KP_NORM_BLD_114318
ERR6293567	KP_NORM_BLD_114321
ERR6293568	KP_NORM_BLD_114323
ERR6293569	KP_NORM_BLD_114324
ERR6293570	KP_NORM_BLD_114326
ERR6293571	KP_NORM_BLD_114327
ERR6293572	KP_NORM_BLD_114328
ERR6293573	KP_NORM_BLD_114330
ERR6293574	KP_NORM_BLD_114331
ERR6293575	KP_NORM_BLD_114390
ERR6293576	KP_NORM_BLD_114443
ERR6293577	KP_NORM_BLD_114446
ERR6293578	KP_NORM_BLD_114450
ERR6293579	KP_NORM_BLD_114453
ERR6293580	KP_NORM_BLD_114458
ERR6293581	KP_NORM_BLD_114460
ERR6293582	KP_NORM_BLD_114464
ERR6293583	KP_NORM_BLD_114466
ERR6293584	KP_NORM_BLD_114473
ERR6293585	KP_NORM_BLD_114476
ERR6293586	KP_NORM_BLD_114478
ERR6293587	KP_NORM_BLD_114482
ERR6293588	KP_NORM_BLD_114484
ERR6293589	KP_NORM_BLD_114487
ERR6293590	KP_NORM_BLD_114491
ERR6293591	KP_NORM_BLD_114599
ERR6293592	KP_NORM_BLD_114603
ERR6293593	KP_NORM_BLD_114612
ERR6293594	KP_NORM_BLD_114729
ERR6293595	KP_NORM_BLD_115315
ERR6293596	KP_NORM_BLD_115319
ERR6293597	KP_NORM_BLD_115323
ERR6293598	KP_NORM_BLD_115327
ERR6293599	KP_NORM_BLD_115329
ERR6293600	KP_NORM_BLD_115332
ERR6293601	KP_NORM_BLD_115338
ERR6293602	KP_NORM_BLD_115344
ERR6293603	KP_NORM_BLD_115348
ERR6293604	KP_NORM_BLD_115351
ERR6293605	KP_NORM_BLD_115357
ERR6293606	KP_NORM_BLD_115362
ERR6293607	KP_NORM_BLD_115366
ERR6293608	KP_NORM_BLD_115369
ERR6293609	KP_NORM_BLD_115375
ERR6293610	KP_NORM_BLD_115378
ERR6293611	KP_NORM_BLD_115382
ERR6293612	KP_NORM_BLD_115385
ERR6293613	KP_NORM_BLD_115388
ERR6293614	KP_NORM_BLD_115390
ERR6293615	KP_NORM_BLD_115397
ERR6293616	KP_NORM_BLD_115403
ERR6293617	KP_NORM_BLD_115406
ERR6293618	KP_NORM_BLD_115408
ERR6293619	KP_NORM_BLD_115411
ERR6293620	KP_NORM_BLD_115414
ERR6293621	KP_NORM_BLD_115698
ERR6293622	KP_NORM_BLD_115706
ERR6293623	KP_NORM_BLD_115734
ERR6293624	KP_NORM_BLD_115743
ERR6293625	KP_NORM_BLD_115749
ERR6293626	KP_NORM_BLD_115754
ERR6293627	KP_NORM_BLD_115757
ERR6293628	KP_NORM_BLD_115760
ERR6293629	KP_NORM_BLD_115763
ERR6293630	KP_NORM_BLD_115771
ERR6293631	KP_NORM_BLD_115781
ERR6293632	KP_NORM_BLD_115796
ERR6293633	KP_NORM_BLD_115802
ERR6293634	KP_NORM_BLD_115811
ERR6293636	KP_NORM_BLD_115981
ERR6293637	KP_NORM_BLD_115984
ERR6293638	KP_NORM_BLD_115987
ERR6293639	KP_NORM_BLD_115993
ERR6293640	KP_NORM_BLD_116099
ERR6293642	KP_NORM_BLD_116218
ERR6293643	KP_NORM_BLD_116220
ERR6293644	KP_NORM_BLD_116223
ERR6293645	KP_NORM_BLD_116226
ERR6293646	KP_NORM_BLD_116229
ERR6293647	KP_NORM_BLD_116231
ERR6293648	KP_NORM_BLD_116234
ERR6293649	KP_NORM_BLD_116236
ERR6293650	KP_NORM_BLD_116239
ERR6293651	KP_NORM_BLD_116241
ERR6293652	KP_NORM_BLD_116244
ERR6293653	KP_NORM_BLD_116247
ERR6293654	KP_NORM_BLD_116250
ERR6293655	KP_NORM_BLD_116252
ERR6293656	KP_NORM_BLD_116255
ERR6293657	KP_NORM_BLD_116257
ERR6293658	KP_NORM_BLD_116338
ERR6293659	KP_NORM_BLD_116348
ERR6293660	KP_NORM_BLD_116351
ERR6293661	KP_NORM_BLD_116354
ERR6293662	KP_NORM_BLD_116361
ERR6293663	KP_NORM_BLD_116364
ERR6293664	KP_NORM_BLD_116367
ERR6293665	KP_NORM_BLD_116371
ERR6293666	KP_NORM_BLD_116378
ERR6293667	KP_NORM_BLD_116386
ERR6293668	KP_NORM_BLD_116389
ERR6293669	KP_NORM_BLD_116392
ERR6293670	KP_NORM_BLD_116398
ERR6293671	KP_NORM_BLD_116404
ERR6293672	KP_NORM_BLD_116407
ERR6293673	KP_NORM_BLD_116410
ERR6293674	KP_NORM_BLD_116413
ERR6293675	KP_NORM_BLD_116436
ERR6293676	KP_NORM_BLD_116439
ERR6293677	KP_NORM_BLD_116441
ERR6293678	KP_NORM_BLD_116444
ERR6293679	KP_NORM_BLD_116446
ERR6293680	KP_NORM_BLD_116489
ERR6293682	KP_NORM_BLD_116554
ERR6293683	KP_NORM_BLD_116562
ERR6293684	KP_NORM_BLD_116566
ERR6293685	KP_NORM_BLD_116570
ERR6293686	KP_NORM_BLD_116574
ERR6293687	KP_NORM_BLD_116578
ERR6293688	KP_NORM_BLD_116585
ERR6293689	KP_NORM_BLD_116589
ERR6293690	KP_NORM_BLD_116592
ERR6293691	KP_NORM_BLD_116598
ERR6293693	KP_NORM_BLD_116604
ERR6293695	KP_NORM_BLD_117477
ERR6293696	KP_NORM_BLD_117483
ERR6293697	KP_NORM_BLD_117487
ERR6293698	KP_NORM_BLD_117493
ERR6293699	KP_NORM_BLD_117503
ERR6293700	KP_NORM_BLD_117512
ERR6293701	KP_NORM_BLD_117519
ERR6293702	KP_NORM_BLD_117525
ERR6293703	KP_NORM_BLD_117530
