run_accession	sample_alias
ERR4024064	NHP1691
ERR4024070	NHP1694
ERR4046830	NHP1697
ERR4024099	NHP1783
ERR4024113	NHP1791
ERR4024068	NHP1754
ERR4024121	NHP1798
ERR4024127	NHP1802
ERR4045900	NHP1838
ERR4045912	NHP1845
ERR4046871	NHP1850
ERR4046875	NHP1853
ERR4046046	NHP1897
ERR4046883	NHP1859
ERR4046076	NHP1966
ERR4046084	NHP1968
ERR4046895	NHP1969
ERR4045967	NHP2005
ERR4045975	NHP2007
ERR4046136	NHP2015
ERR4045797	NHP2028
ERR4046161	NHP2022
ERR4045918	NHP2062
ERR4045934	NHP2066
ERR4045947	NHP2069
ERR4045988	NHP2079
ERR4046040	NHP2092
ERR4046129	NHP2118
ERR4046146	NHP2123
ERR4045969	NHP2182
ERR4045981	NHP2179
ERR4045794	NHP2133
ERR4046073	NHP2103
ERR4046093	NHP2108
ERR4045871	NHP2154
ERR4046911	NHP2191
ERR4046118	NHP2278
ERR4046126	NHP2282
ERR4046183	NHP2378
ERR4046219	NHP2392
ERR4139372	NHP2388
ERR4046232	NHP2398
ERR4046260	NHP2406
ERR4046280	NHP2413
ERR4046288	NHP2415
ERR4046316	NHP2424
ERR4046564	NHP2419
ERR4046568	NHP2432
ERR4046374	NHP2445
ERR4046386	NHP2448
ERR4046467	NHP2482
ERR4046479	NHP2485
ERR4046519	NHP2497
ERR4046528	NHP2499
ERR4046176	NHP2510
ERR4046168	NHP2508
ERR4046281	NHP2544
ERR4046371	NHP2573
ERR4046379	NHP2577
ERR4046468	NHP2603
ERR4046480	NHP2606
ERR4046520	NHP2628
ERR4046181	NHP2641
ERR4046230	NHP2656
ERR4046242	NHP2659
ERR4046270	NHP2667
ERR4046282	NHP2670
ERR4046294	NHP2673
ERR4046302	NHP2675
ERR4045576	NHP2732
ERR4139391	NHP2749
ERR4046372	NHP2757
ERR4046412	NHP2769
ERR4046449	NHP2780
ERR4046461	NHP2783
ERR4046501	NHP2797
ERR4046509	NHP2800
ERR4046174	NHP2815
ERR4046186	NHP2819
ERR4139400	NHP2824
ERR4045717	NHP2851
ERR4045725	NHP2855
ERR4045758	NHP2863
ERR4046152	NHP2317
ERR3584881	BMP003
ERR3584884	BMP006
ERR3584886	BMP008
ERR4045770	NHP002
ERR3567229	NHP004
ERR3567232	NHP008
ERR3642065	NHP018
ERR4139327	NHP017
ERR3567242	NHP022
ERR3567245	NHP028
ERR4139330	NHP033
ERR3567251	NHP035
ERR3567256	NHP041
ERR3567258	NHP044
ERR3567260	NHP047
ERR3567262	NHP049
ERR4045415	NHP053
ERR4045419	NHP055
ERR3567270	NHP059
ERR3642071	NHP061
ERR3567274	NHP065
ERR3642075	NHP070
ERR3584891	BMP013
ERR3584893	BMP015
ERR3584897	BMP019
ERR3584900	BMP022
ERR3584903	BMP025
ERR3584906	BMP028
ERR3584907	BMP029
ERR3584909	BMP032
ERR3567288	NHP082
ERR3567290	NHP084
ERR3584911	BMP034
ERR3584914	BMP038
ERR3584916	BMP041
ERR4139265	BMP047
ERR3584919	BMP048
ERR3584922	BMP051
ERR4139268	BMP055
ERR4189395	BMP058
ERR3584929	BMP062
ERR3584933	BMP066
ERR3584934	BMP068
ERR3584935	BMP069
ERR3584947	BMP084
ERR3584950	BMP088
ERR3584955	BMP093
ERR3584961	BMP099
ERR3584965	BMP106
ERR3584967	BMP108
ERR3584968	BMP109
ERR3584969	BMP111
ERR4139277	BMP112
ERR3584974	BMP118
ERR3584980	BMP124
ERR3584981	BMP125
ERR3584989	BMP133
ERR3584991	BMP135
ERR3584993	BMP137
ERR3567301	NHP095
ERR3584996	BMP140
ERR3584998	BMP142
ERR3567307	NHP102
ERR3567312	NHP106
ERR3567315	NHP109
ERR3567316	NHP111
ERR3567317	NHP112
ERR3567321	NHP116
ERR3567337	NHP130
ERR3567339	NHP132
ERR3567343	NHP136
ERR3567356	NHP149
ERR3642079	NHP153
ERR4139300	NHP168
ERR3585005	BMP153
ERR3585009	BMP157
ERR3567377	NHP175
ERR3567387	NHP187
ERR3585016	BMP165
ERR3585019	BMP168
ERR3585022	BMP171
ERR3585025	BMP176
ERR3585028	BMP179
ERR4189404	BMP182
ERR3595965	BMP185
ERR3585033	BMP187
ERR3585035	BMP189
ERR3585036	BMP190
ERR3585038	BMP192
ERR3567510	BMP207
ERR3567512	BMP209
ERR3567517	BMP214
ERR3567515	BMP212
ERR3567532	BMP229
ERR3567536	BMP234
ERR3567543	BMP242
ERR3567552	BMP252
ERR3567556	BMP256
ERR3567398	NHP202
ERR3567561	BMP261
ERR3567562	BMP262
ERR3567567	BMP268
ERR3567570	BMP271
ERR3567571	BMP272
ERR3567578	BMP280
ERR3567580	BMP283
ERR3567584	BMP287
ERR3567589	BMP292
ERR3567592	BMP295
ERR3567598	BMP299
ERR4139295	BMP302
ERR3567602	BMP305
ERR3567604	BMP307
ERR3567606	BMP309
ERR3567607	BMP312
ERR3567608	BMP313
ERR3567609	BMP315
ERR3567616	BMP322
ERR3567403	NHP209
ERR3567409	NHP216
ERR3642081	NHP221
ERR3567423	NHP233
ERR3567427	NHP239
ERR3567428	NHP236
ERR3567430	NHP242
ERR3567431	NHP243
ERR3567433	NHP246
ERR3567435	NHP248
ERR3567436	NHP250
ERR3567440	NHP255
ERR3642085	NHP251
ERR3567445	NHP261
ERR3567448	NHP267
ERR3567449	NHP268
ERR3567450	NHP269
ERR3567456	NHP279
ERR3642095	NHP278
ERR4139306	NHP275
ERR3567459	NHP282
ERR3567461	NHP284
ERR3567462	NHP286
ERR3567463	NHP287
ERR3567619	BMP325
ERR3567621	BMP328
ERR3567622	BMP329
ERR3567626	BMP333
ERR3567466	NHP291
ERR3567470	NHP295
ERR3567634	BMP342
ERR3567639	BMP347
ERR3567641	BMP349
ERR3567644	BMP352
ERR3567647	BMP355
ERR3567649	BMP357
ERR3567653	BMP361
ERR3567654	BMP362
ERR3567655	BMP364
ERR3567657	BMP366
ERR3567658	BMP367
ERR3567661	BMP371
ERR3567674	BMP389
ERR3567677	BMP393
ERR3567485	NHP318
ERR4139320	BMP399
ERR4139326	BMP401
ERR3567686	BMP405
ERR4139335	BMP404
ERR3567687	BMP406
ERR3567688	BMP407
ERR3567691	BMP412
ERR3567693	BMP416
ERR3567695	BMP418
ERR3567847	BMP421
ERR3567700	BMP425
ERR3567495	NHP329
ERR3567498	NHP333
ERR3567705	BMP431
ERR3567707	BMP434
ERR3567501	NHP337
ERR3567506	NHP343
ERR3595903	NHP345
ERR3595905	NHP347
ERR3595912	NHP354
ERR3595909	NHP351
ERR4045472	NHP357
ERR3595916	NHP362
ERR3595917	NHP363
ERR3595923	NHP371
ERR3595924	NHP372
ERR3595926	NHP374
ERR3595928	NHP376
ERR4910200	NHP382
ERR4045503	NHP386
ERR4045495	NHP384
ERR3595931	NHP388
ERR4045507	NHP387
ERR3595956	NHP395
ERR4045515	NHP398
ERR3595946	NHP408
ERR3595950	NHP412
ERR3567708	BMP435
ERR3567709	BMP436
ERR3567714	BMP446
ERR4139338	BMP450
ERR3567719	BMP454
ERR3567720	BMP455
ERR3567725	BMP461
ERR3567727	BMP463
ERR3567854	BMP466
ERR3567731	BMP469
ERR3567737	BMP476
ERR3567741	BMP481
ERR3567743	BMP483
ERR3567747	BMP488
ERR3567748	BMP489
ERR3567752	BMP493
ERR3567754	BMP495
ERR3567760	BMP501
ERR4139347	BMP504
ERR3567196	BMP508
ERR4139350	BMP510
ERR3567768	BMP512
ERR3567772	BMP516
ERR3567774	BMP518
ERR3567776	BMP521
ERR3567787	BMP533
ERR3567792	BMP538
ERR3567803	BMP542
ERR3567794	BMP540
ERR3567799	BMP548
ERR3567797	BMP545
ERR3567807	BMP558
ERR3567813	BMP564
ERR3642114	NHP458
ERR3642116	NHP459
ERR3642118	NHP463
ERR4139322	NHP460
ERR3642139	NHP476
ERR3642151	NHP482
ERR3642157	NHP485
ERR3642163	NHP489
ERR3642174	NHP495
ERR3567814	BMP565
ERR3567815	BMP566
ERR3567819	BMP570
ERR3567859	BMP572
ERR3567821	BMP573
ERR3567822	BMP574
ERR3567824	BMP576
ERR3567825	BMP577
ERR3567827	BMP582
ERR3567832	BMP590
ERR3642036	NHP512
ERR3642042	NHP518
ERR3642039	NHP515
ERR3642045	NHP522
ERR3567836	BMP594
ERR3567839	BMP599
ERR4139362	BMP602
ERR4139365	BMP603
ERR3567842	BMP605
ERR3567844	BMP607
ERR3567864	BMP608
ERR3567867	BMP611
ERR4139368	BMP614
ERR4139371	BMP615
ERR3567871	BMP617
ERR3567549	BMP249
ERR3567882	BMP665
ERR3567883	BMP666
ERR3567884	BMP667
ERR3567885	BMP668
ERR3567888	BMP672
ERR3567890	BMP675
ERR3585051	BMP677
ERR3585054	BMP680
ERR3585056	BMP682
ERR3585065	BMP691
ERR3585067	BMP693
ERR3585059	BMP685
ERR3585058	BMP684
ERR4139364	NHP547
ERR3567296	NHP553
ERR4045523	NHP556
ERR3567297	NHP558
ERR4139386	NHP559
ERR3642146	NHP578
ERR3642148	NHP579
ERR3642156	NHP585
ERR3642167	NHP592
ERR3642189	NHP609
ERR3642195	NHP613
ERR3642203	NHP618
ERR3642222	NHP623
ERR3642226	NHP625
ERR3642230	NHP627
ERR3585063	BMP689
ERR3585064	BMP690
ERR3585071	BMP700
ERR3585075	BMP705
ERR3585077	BMP707
ERR3585078	BMP709
ERR3585083	BMP715
ERR3585086	BMP718
ERR3585089	BMP721
ERR3585090	BMP722
ERR3585095	BMP727
ERR3585096	BMP728
ERR3585101	BMP734
ERR3585104	BMP737
ERR3585111	BMP744
ERR3585112	BMP746
ERR4139411	BMP745
ERR4139414	BMP748
ERR3642232	NHP628
ERR3585118	BMP753
ERR3585119	BMP754
ERR3585122	BMP757
ERR3585123	BMP758
ERR3585127	BMP762
ERR3642240	NHP718
ERR3642256	NHP728
ERR3642264	NHP732
ERR4045548	NHP737
ERR3642280	NHP742
ERR3642282	NHP743
ERR3642288	NHP746
ERR3642292	NHP750
ERR3642300	NHP755
ERR3642304	NHP759
ERR3642310	NHP762
ERR3642317	NHP766
ERR3642321	NHP769
ERR3642323	NHP770
ERR3585130	BMP768
ERR3585131	BMP769
ERR3585159	BMP803
ERR3585161	BMP808
ERR3585133	BMP771
ERR4139426	BMP773
ERR3585138	BMP778
ERR3585141	BMP781
ERR3585142	BMP783
ERR4139432	BMP782
ERR3585144	BMP786
ERR4139435	BMP785
ERR3585150	BMP793
ERR3585148	BMP790
ERR3585152	BMP795
ERR4139441	BMP797
ERR3585155	BMP799
ERR3585156	BMP800
ERR3585164	BMP811
ERR3585166	BMP813
ERR4139453	BMP815
ERR3585168	BMP819
ERR3585169	BMP820
ERR3585170	BMP822
ERR3585171	BMP823
ERR3585173	BMP826
ERR3585175	BMP829
ERR3585178	BMP834
ERR4139466	BMP832
ERR3585180	BMP837
ERR4139469	BMP836
ERR3585183	BMP842
ERR4139475	BMP841
ERR3585193	BMP853
ERR3585188	BMP848
ERR3585195	BMP855
ERR3585197	BMP857
ERR3585198	BMP858
ERR3585199	BMP859
ERR3585200	BMP860
ERR3585201	BMP861
ERR3585203	BMP863
ERR3642364	NHP795
