run_accession	sample_alias
ERR6293482	KP_NORM_BLD_108841
ERR6293483	KP_NORM_BLD_108846
ERR6293484	KP_NORM_BLD_108849
ERR6293485	KP_NORM_BLD_108853
ERR6293486	KP_NORM_BLD_108856
ERR6293487	KP_NORM_BLD_110760
ERR6293488	KP_NORM_BLD_110764
ERR6293489	KP_NORM_BLD_110766
ERR6293490	KP_NORM_BLD_110770
ERR6293491	KP_NORM_BLD_110772
ERR6293492	KP_NORM_BLD_110785
ERR6293493	KP_NORM_BLD_111571
ERR6293494	KP_NORM_BLD_111579
ERR6293495	KP_NORM_BLD_111583
ERR6293496	KP_NORM_BLD_111588
ERR6293497	KP_NORM_BLD_111590
ERR6293498	KP_NORM_BLD_111596
ERR6293499	KP_NORM_BLD_111598
ERR6293500	KP_NORM_BLD_111602
ERR6293501	KP_NORM_BLD_112118
ERR6293502	KP_NORM_BLD_112121
ERR6293503	KP_NORM_BLD_112124
ERR6293504	KP_NORM_BLD_112137
ERR6293505	KP_NORM_BLD_112139
ERR6293506	KP_NORM_BLD_112162
ERR6293507	KP_NORM_BLD_112176
ERR6293508	KP_NORM_BLD_112178
ERR6293509	KP_NORM_BLD_112181
ERR6293510	KP_NORM_BLD_112490
ERR6293511	KP_NORM_BLD_112587
ERR6293512	KP_NORM_BLD_112590
ERR6293513	KP_NORM_BLD_112596
ERR6293514	KP_NORM_BLD_112598
ERR6293515	KP_NORM_BLD_112603
ERR6293516	KP_NORM_BLD_112902
ERR6293517	KP_NORM_BLD_112904
ERR6293518	KP_NORM_BLD_112908
ERR6293519	KP_NORM_BLD_112911
ERR6293520	KP_NORM_BLD_112914
ERR6293521	KP_NORM_BLD_112916
ERR6293522	KP_NORM_BLD_112919
ERR6293523	KP_NORM_BLD_112922
ERR6293524	KP_NORM_BLD_112925
ERR6293525	KP_NORM_BLD_112927
ERR6293526	KP_NORM_BLD_113282
ERR6293527	KP_NORM_BLD_113284
ERR6293528	KP_NORM_BLD_113296
ERR6293529	KP_NORM_BLD_113303
ERR6293530	KP_NORM_BLD_113311
ERR6293531	KP_NORM_BLD_113315
ERR6293532	KP_NORM_BLD_113321
ERR6293533	KP_NORM_BLD_113606
ERR6293534	KP_NORM_BLD_113760
ERR6293535	KP_NORM_BLD_113766
ERR6293536	KP_NORM_BLD_113768
ERR6293537	KP_NORM_BLD_113771
ERR6293538	KP_NORM_BLD_113773
ERR6293539	KP_NORM_BLD_113777
ERR6293540	KP_NORM_BLD_113779
ERR6293541	KP_NORM_BLD_113865
ERR6293542	KP_NORM_BLD_113867
ERR6293543	KP_NORM_BLD_113873
ERR6293544	KP_NORM_BLD_113875
ERR6293545	KP_NORM_BLD_113884
ERR6293546	KP_NORM_BLD_113888
ERR6293547	KP_NORM_BLD_113895
ERR6293548	KP_NORM_BLD_113898
ERR6293549	KP_NORM_BLD_113905
ERR6293550	KP_NORM_BLD_113968
ERR6293551	KP_NORM_BLD_113971
ERR6293552	KP_NORM_BLD_114045
ERR6293553	KP_NORM_BLD_114048
ERR6293554	KP_NORM_BLD_114051
ERR6293555	KP_NORM_BLD_114054
ERR6293556	KP_NORM_BLD_114056
ERR6293557	KP_NORM_BLD_114291
ERR6293558	KP_NORM_BLD_114294
ERR6293559	KP_NORM_BLD_114297
ERR6293560	KP_NORM_BLD_114300
ERR6293561	KP_NORM_BLD_114303
ERR6293562	KP_NORM_BLD_114306
ERR6293563	KP_NORM_BLD_114309
ERR6293564	KP_NORM_BLD_114312
ERR6293565	KP_NORM_BLD_114315
ERR6293566	KP_NORM_BLD_114318
ERR6293567	KP_NORM_BLD_114321
ERR6293568	KP_NORM_BLD_114323
ERR6293569	KP_NORM_BLD_114324
ERR6293570	KP_NORM_BLD_114326
ERR6293571	KP_NORM_BLD_114327
ERR6293572	KP_NORM_BLD_114328
ERR6293573	KP_NORM_BLD_114330
ERR6293574	KP_NORM_BLD_114331
ERR6293575	KP_NORM_BLD_114390
ERR6293576	KP_NORM_BLD_114443
ERR6293577	KP_NORM_BLD_114446
ERR6293578	KP_NORM_BLD_114450
ERR6293579	KP_NORM_BLD_114453
ERR6293580	KP_NORM_BLD_114458
ERR6293581	KP_NORM_BLD_114460
ERR6293582	KP_NORM_BLD_114464
ERR6293583	KP_NORM_BLD_114466
ERR6293584	KP_NORM_BLD_114473
ERR6293585	KP_NORM_BLD_114476
ERR6293586	KP_NORM_BLD_114478
ERR6293587	KP_NORM_BLD_114482
ERR6293588	KP_NORM_BLD_114484
ERR6293589	KP_NORM_BLD_114487
ERR6293590	KP_NORM_BLD_114491
ERR6293591	KP_NORM_BLD_114599
ERR6293592	KP_NORM_BLD_114603
ERR6293593	KP_NORM_BLD_114612
ERR6293594	KP_NORM_BLD_114729
ERR6293595	KP_NORM_BLD_115315
ERR6293596	KP_NORM_BLD_115319
ERR6293597	KP_NORM_BLD_115323
ERR6293598	KP_NORM_BLD_115327
ERR6293599	KP_NORM_BLD_115329
ERR6293600	KP_NORM_BLD_115332
ERR6293601	KP_NORM_BLD_115338
ERR6293602	KP_NORM_BLD_115344
ERR6293603	KP_NORM_BLD_115348
ERR6293604	KP_NORM_BLD_115351
ERR6293605	KP_NORM_BLD_115357
ERR6293606	KP_NORM_BLD_115362
ERR6293607	KP_NORM_BLD_115366
ERR6293608	KP_NORM_BLD_115369
ERR6293609	KP_NORM_BLD_115375
ERR6293610	KP_NORM_BLD_115378
ERR6293611	KP_NORM_BLD_115382
ERR6293612	KP_NORM_BLD_115385
ERR6293613	KP_NORM_BLD_115388
ERR6293614	KP_NORM_BLD_115390
ERR6293615	KP_NORM_BLD_115397
ERR6293616	KP_NORM_BLD_115403
ERR6293617	KP_NORM_BLD_115406
ERR6293618	KP_NORM_BLD_115408
ERR6293619	KP_NORM_BLD_115411
ERR6293620	KP_NORM_BLD_115414
ERR6293621	KP_NORM_BLD_115698
ERR6293622	KP_NORM_BLD_115706
ERR6293623	KP_NORM_BLD_115734
ERR6293624	KP_NORM_BLD_115743
ERR6293625	KP_NORM_BLD_115749
ERR6293626	KP_NORM_BLD_115754
ERR6293627	KP_NORM_BLD_115757
ERR6293628	KP_NORM_BLD_115760
ERR6293629	KP_NORM_BLD_115763
ERR6293630	KP_NORM_BLD_115771
ERR6293631	KP_NORM_BLD_115781
ERR6293632	KP_NORM_BLD_115796
ERR6293633	KP_NORM_BLD_115802
ERR6293634	KP_NORM_BLD_115811
ERR6293636	KP_NORM_BLD_115981
ERR6293637	KP_NORM_BLD_115984
ERR6293638	KP_NORM_BLD_115987
ERR6293639	KP_NORM_BLD_115993
ERR6293640	KP_NORM_BLD_116099
ERR6293642	KP_NORM_BLD_116218
ERR6293643	KP_NORM_BLD_116220
ERR6293644	KP_NORM_BLD_116223
ERR6293645	KP_NORM_BLD_116226
ERR6293646	KP_NORM_BLD_116229
ERR6293647	KP_NORM_BLD_116231
ERR6293648	KP_NORM_BLD_116234
ERR6293649	KP_NORM_BLD_116236
ERR6293650	KP_NORM_BLD_116239
ERR6293651	KP_NORM_BLD_116241
ERR6293652	KP_NORM_BLD_116244
ERR6293653	KP_NORM_BLD_116247
ERR6293654	KP_NORM_BLD_116250
ERR6293655	KP_NORM_BLD_116252
ERR6293656	KP_NORM_BLD_116255
ERR6293657	KP_NORM_BLD_116257
ERR6293658	KP_NORM_BLD_116338
ERR6293659	KP_NORM_BLD_116348
ERR6293660	KP_NORM_BLD_116351
ERR6293661	KP_NORM_BLD_116354
ERR6293662	KP_NORM_BLD_116361
ERR6293663	KP_NORM_BLD_116364
ERR6293664	KP_NORM_BLD_116367
ERR6293665	KP_NORM_BLD_116371
ERR6293666	KP_NORM_BLD_116378
ERR6293667	KP_NORM_BLD_116386
