run_accession	sample_alias
ERR4795706	G18000410
ERR4795708	G18000412
ERR4795709	G18000832
ERR4795712	G18000419
ERR4795713	G18000422
ERR4795715	G18000423
ERR4795716	G18000857
ERR4795718	G18000870
ERR4795719	G18000871
ERR4795722	G18000884
ERR4795723	G18000451
ERR4795725	G18000916
ERR4795726	G18000461
ERR4795727	G18000926
ERR4795729	G18000471
ERR4795730	G18000935
ERR4795731	G18000478
ERR4795732	G18000939
ERR4795733	G18000479
ERR4795735	G18000480
ERR4795736	G18000957
ERR4795737	G18000481
ERR4795738	G18000960
ERR4795739	G18000482
ERR4795740	G18000961
ERR4795741	G18000967
ERR4795742	G18000487
ERR4795743	G18000968
ERR4795744	G18000490
ERR4795745	G18000969
ERR4795746	G18000971
ERR4795748	G18000506
ERR4795749	G18000973
ERR4795750	G18000507
ERR4795751	G18000509
ERR4795752	G18000978
ERR4795754	G18000980
ERR4795755	G18000523
ERR4795756	G18000981
ERR4795757	G18000982
ERR4795758	G18000530
ERR4795759	G18000983
ERR4795760	G18000985
ERR4795761	G18000535
ERR4795762	G18000987
ERR4795763	G18000542
ERR4795764	G18000989
ERR4795766	G18000993
ERR4795767	G18000560
ERR4795768	G18000995
ERR4795770	G18000998
ERR4795773	G18000999
ERR4795774	G18000576
ERR4795775	G18000063
ERR4795776	G18001007
ERR4795777	G18000578
ERR4795778	G18000077
ERR4795779	G18001011
ERR4795780	G18000580
ERR4795782	G18001014
ERR4795784	G18001017
ERR4795786	G18001021
ERR4795787	G18000584
ERR4795789	G18001025
ERR4795790	G18000585
ERR4795791	G18000587
ERR4795792	G18000213
ERR4795793	G18001029
ERR4795794	G18000588
ERR4795795	G18000221
ERR4795796	G18001031
ERR4795797	G18000591
ERR4795798	G18000224
ERR4795799	G18000593
ERR4795800	G18000225
ERR4795801	G18001038
ERR4795802	G18000596
ERR4795804	G18001045
ERR4795806	G18000233
ERR4795807	G18001055
ERR4795808	G18000599
ERR4795809	G18001056
ERR4795810	G18001068
ERR4795811	G18000600
ERR4795812	G18000237
ERR4795813	G18001079
ERR4795814	G18000602
ERR4795815	G18000240
ERR4795816	G18001080
ERR4795817	G18000607
ERR4795818	G18000243
ERR4795819	G18001086
ERR4795820	G18000613
ERR4795821	G18000251
ERR4795822	G18001108
ERR4795823	G18000616
ERR4795826	G18000618
ERR4795827	G18000254
ERR4795828	G18000078
ERR4795830	G18000102
ERR4795834	G18000158
ERR4795836	G18000182
ERR4795838	G18000218
ERR4795841	G18000434
ERR4795842	G18000539
ERR4795843	G18000555
ERR4795847	G18000797
ERR4795849	G18000874
ERR4795850	G18000881
ERR4795851	G18000885
ERR4795852	G18000936
ERR4795854	G18000988
ERR4795856	G18001010
ERR4795857	G18001016
ERR4795858	G18001026
ERR4795859	G18001044
ERR4795860	G18001059
ERR4795861	G18001084
ERR4795862	G18001099
ERR4795864	G18001147
ERR4795865	G18000529
ERR4795866	G18001081
ERR4795868	G18000021
ERR4795869	G18000027
ERR4795870	G18000059
ERR4795871	G18000141
ERR4795874	G18000837
ERR4795875	G18000859
ERR4795876	G18000860
