run_accession	sample_alias
ERS5230201 	NN-BB648-I
ERS5230202 	NN-BB753-I
ERS5230203 	NN-BB787-I
ERS5230204 	NN-BB915a-I
ERS5230206 	NW-BB1240-I
ERS5230210 	NW-BB182ar1-I
ERS5230212 	NW-BB750-I
ERS5230217 	PC-BB31-I
ERS5230223 	PC-BB456-I
ERS5230233 	PP-BB1096-I
ERS5230237 	PP-BB1282-I
ERS5230253 	PP-BB1599-I
ERS5230256 	PP-BB1617-I
ERS5230257 	PP-BB1626-I
ERS5230265 	PP-BB1729-I
ERS5230267 	PP-BB1807-I
ERS5230273 	PP-BB1873-I
ERS5230279 	PP-BB1935-I
ERS5230280 	PP-BB1936-I
ERS5230284 	PP-BB2003-I
ERS5230293 	PP-BB2093-I
ERS5230294 	PP-BB2126-I
ERS5230304 	PP-BB2254-I
ERS5230306 	PP-BB226-I
ERS5230307 	PP-BB2269-I
ERS5230308 	PP-BB2292-I
ERS5230326 	PP-BB2847-I
ERS5230327 	PP-BB2859-I
ERS5230330 	PP-BB3057-I
ERS5230336 	PP-BB314-I
ERS5230341 	PP-BB3180-I2
ERS5230342 	PP-BB3196-I
ERS5230350 	PP-BB3318-I
ERS5230354 	PP-BB3445-I
ERS5230367 	PP-BB4154-I
ERS5230368 	PP-BB4172-I
ERS5230383 	PP-BB4815-I
ERS5230407 	PP-BB5302-I
ERS5230422 	PP-BB5730-I
ERS5230423 	PP-BB5741-I
ERS5230430 	PP-BB5838-I
ERS5230436 	PP-BB6026-I
ERS5230442 	PP-BB62-I
ERS5230445 	PP-BB6222-I
ERS5230453 	PP-BB6586-I
ERS5230476 	PP-BB6930-I
ERS5230487 	PP-BB7127-I
ERS5230492 	PP-BB7164-I
ERS5230507 	PP-BB7510a-I
ERS5230528 	PP-BB8144-I
ERS5230538 	RK-BB1128-I
ERS5230539 	RK-BB1216-I
ERS5230548 	RK-BB1813-I
ERS5230558 	RK-BB472-I
ERS5230559 	RK-BB488-I
ERS5230560 	RK-BB5-I
ERS5230561 	RK-BB50-I
ERS5230563 	RK-BB584-I
ERS5230564 	RK-BB589-I
ERS5230565 	RK-BB600-I
